stop_id,stop_name,stop_lat,stop_lon
3779,Santej (Shah Alloys),23.109453,72.469131
3780,Santej Tiles,23.105801,72.472336
3781,Kothari Char Rasta,23.103551,72.47558
3782,Pramukh Estate (Rellis Pharma.),23.101831,72.479041
3783,Rakanpur Char Rasta,23.100398,72.481753
3784,Sarthi Pharma.,23.098846,72.484396
3785,Bhadaj Gam,23.086746,72.48579
3786,S.P.Ring Road (Paghadi Sheth Farm),23.084665,72.491888
2823,Kesarsal Medical College,23.082846,72.495441
2824,Science City,23.080503,72.499523
2853,Sahajanand Bunglows (Science City),23.07644,72.50779
5509,Satyam Complex,23.074446,72.511906
5510,Sola Gam Cross Road,23.072951,72.51499
2856,Saraswati Vidyalay,23.070781,72.520481
8909,Sola Police Choki,23.069939,72.52239
2914,Shenbainagar (Sattadhar),23.065158,72.529508
3789,Sarthak School (Sattadhar Cross Road),23.063243,72.532275
2915,Sarvodaynagar,23.06246,72.533773
2916,Bhuyangdev Society,23.059213,72.536758
2917,Sola Housing Complex,23.057043,72.540328
2918,Akashganga,23.05587,72.542823
2919,Paras Nagar,23.054808,72.544858
2920,A.E.C Zonal Office,23.05274,72.54869
2921,Naranpura,23.052195,72.551648
2858,Devendra Society,23.052225,72.553776
2677,Amikunj Society,23.052351,72.555545
3699,Naranpura Char Rasta,23.052455,72.560123
2859,Gautamnagar (Naranpura Railway Crossing),23.052206,72.562876
2860,Shriniketan Society,23.051288,72.565692
2861,Panchshil Society,23.04948,72.566276
2862,Vidyanagar High School (Usmanpura),23.046938,72.568854
2863,Usmanpura,23.045203,72.570203
2110,Gujarat Vidyapith,23.043365,72.569903
2273,Income Tax Office,23.041513,72.569608
1153,Shankar Bhuvan,23.039766,72.578156
1154,Shahpur Darwaja,23.039361,72.580563
1155,Halimni Khadki,23.039036,72.583578
1156,Delhi Darwaja (Rt.77 Stand),23.038551,72.585762
1120,Delhi Chakla,23.035448,72.58691
1121,Rentiyawadi,23.034176,72.585791
1123,Jansatta Karyalay,23.030113,72.583018
1124,Dinbai Tower,23.02826,72.581501
1125,Lal Darwaja,23.024376,72.578605
1078,Dinbai Tower,23.028206,72.581381
1079,Jansatta Karyalay,23.030511,72.583185
1080,Ahmedabad Gramya Jilla Nyayalay,23.032603,72.58455
1081,Rentiyawadi,23.03436,72.585701
2353,Delhi Chakla,23.035895,72.587115
1208,Delhi Darwaja (Rt.77 Stand),23.038497,72.585037
1209,Halimni Khadki,23.03888,72.583493
1210,Shahpur Darwaja,23.039192,72.58086
1211,Shankar Bhuvan,23.039758,72.57713
2030,Income Tax Office,23.042136,72.569513
2163,Gujarat Vidyapith,23.043068,72.56962
2888,Usmanpura,23.046948,72.569671
2889,Vidyanagar High School (Usmanpura),23.047411,72.567671
2890,Panchshil Society,23.049738,72.566093
2891,Shriniketan Society,23.051481,72.565679
2892,Gautamnagar (Naranpura Railway Crossing),23.052121,72.562461
2893,Naranpura Char Rasta,23.052203,72.559088
2894,Amikunj Society,23.052291,72.555861
2895,Devendra Society,23.052143,72.553803
2962,Naranpura,23.051983,72.55137
2963,A.E.C Zonal Office,23.052528,72.548765
2964,Paras Nagar,23.05461,72.544873
2965,Akashganga,23.055973,72.542251
2966,Sola Housing Complex,23.056921,72.540153
2967,Bhuyangdev Society,23.05985,72.536033
2968,Sarvodaynagar,23.062466,72.533413
2969,Sarthak School (Sattadhar Cross Road),23.06343,72.53166
2970,Shenbainagar (Sattadhar),23.065161,72.529228
8908,Sola Police Choki,23.069851,72.522372
2897,Saraswati Vidyalay,23.070781,72.520166
4704,Sola Gam Cross Road,23.072691,72.51506
4706,Satyam Complex,23.074385,72.511591
2899,Sahajanand Bunglows (Science City),23.076641,72.506968
2900,Science City,23.08025,72.499616
2901,Kesarsal Medical College,23.082753,72.49509
3751,S.P.Ring Road (Paghadi Sheth Farm),23.084616,72.491836
3752,Bhadaj Gam,23.087055,72.485813
3753,Sarthi Pharma.,23.09879,72.484376
3754,Rakanpur Char Rasta,23.100371,72.481685
3755,Pramukh Estate (Rellis Pharma.),23.10154,72.47945
3756,Kothari Char Rasta,23.103491,72.475596
3757,Santej Tiles,23.105585,72.472515
3758,Santej (Shah Alloys),23.109358,72.46909
3759,Shah Alloys Factory,23.109806,72.468793
3760,Goga Maharajnu Mandir,23.115701,72.46438
3762,Texell Industry,23.121118,72.460585
3763,Gujarat Vidyut Board (Santej),23.123953,72.458061
3764,Shah Metal Ind.,23.125821,72.456135
3767,Cheharnagar,23.1421,72.44373
4705,Khatraj Chokdi,23.147498,72.444129
2764,Arvind Polycoat (Khatraj),23.147508,72.447335
5529,Santej Gam,23.109081,72.46916
1122,Ahmedabad Gramya Jilla Nyayalay,23.032465,72.584573
